cod_ibge;municipio;populacao_2000;populacao_2010;populacao_2020;populacao_2030;populacao_2040;populacao_2050;tx_crescimentopop_2000/2010;tx_crescimentopop_2010/2020;tx_crescimentopop_2020/2030;tx_crescimentopop_2030/2040;tx_crescimentopop_2040/2050
3543907;Rio Claro;167.902;186.095;201.212;210.004;210.729;204.647;1,03;0,78;0,43;0,03;-0,29
3544004;Rio das Pedras;23.448;29.445;34.416;37.676;39.123;39.034;2,3;1,57;0,91;0,38;-0,02
3544103;Rio Grande da Serra;37.015;43.912;49.816;54.393;56.804;57.212;1,72;1,27;0,88;0,43;0,07
3544202;Riolândia;8.552;10.556;11.431;12.101;12.517;12.628;2,13;0,8;0,57;0,34;0,09
3544251;Rosana;24.192;19.725;18.387;17.830;17.363;16.576;-2,02;-0,7;-0,31;-0,27;-0,46
3544301;Roseira;8.551;9.590;10.642;11.359;11.713;11.760;1,15;1,05;0,65;0,31;0,04
3544400;Rubiácea;2.340;2.725;3.106;3.405;3.554;3.550;1,53;1,32;0,92;0,43;-0,01
3544509;Rubinéia;2.611;2.860;2.989;3.022;2.933;2.789;0,92;0,44;0,11;-0,3;-0,5
3544608;Sabino;4.947;5.215;5.468;5.590;5.581;5.490;0,53;0,47;0,22;-0,02;-0,16
3544707;Sagres;2.441;2.395;2.362;2.346;2.289;2.203;-0,19;-0,14;-0,07;-0,25;-0,38
3544806;Sales;4.555;5.443;6.050;6.299;6.312;6.201;1,8;1,06;0,4;0,02;-0,18
3544905;Sales Oliveira;9.308;10.557;11.518;12.035;12.075;11.758;1,27;0,88;0,44;0,03;-0,27
3545001;Salesópolis;14.326;15.624;16.838;17.832;18.505;18.889;0,87;0,75;0,58;0,37;0,21
3545100;Salmourão;4.402;4.814;5.117;5.303;5.294;5.172;0,9;0,61;0,36;-0,02;-0,23
3545159;Saltinho;5.792;7.047;7.860;8.115;7.985;7.616;1,98;1,1;0,32;-0,16;-0,47
3545209;Salto;92.933;105.407;115.372;121.660;123.284;120.694;1,27;0,91;0,53;0,13;-0,21
3545308;Salto de Pirapora;34.965;40.087;44.223;46.813;47.828;47.752;1,38;0,99;0,57;0,21;-0,02
